rank,final_score,semantic_score,title_score,career_score,assessment_score,skill_trust_score,behavioral_multiplier,ranker_reasoning,candidate_id,name,headline,summary,location,country,years_of_experience,current_title,current_company,current_company_size,current_industry,career_titles,career_companies,career_duration_months,career_industries,total_career_roles,career_descriptions,education_degrees,education_fields,education_institutions,education_tiers,top_skills,ai_skills,ai_skill_count,total_skill_count,certifications,assessment_scores,assessment_count,profile_completeness_score,open_to_work,github_activity_score,recruiter_response_rate,notice_period_days,preferred_work_mode,willing_to_relocate,expected_salary_lpa,interview_completion_rate,offer_acceptance_rate,connection_count,endorsements_received,verified_email,verified_phone,linkedin_connected,last_active_date,signup_date,profile_views_30d,saved_by_recruiters_30d,search_appearance_30d,avg_response_time_hours
56,0.815442,81.5442,35.0000,23.1481,10.0800,6.7486,1.1500,AI Research Engineer | 4.2 yrs exp | 2 AI role(s) in career | assess=10.1 | resp_rate=0.86 | mult=1.150,CAND_0074317,Deepak Sharma,AI Research Engineer | Building ML-powered solutions,"Data scientist / ML engineer with 4.2 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've spent the last couple of years building NLP-based classification and information extraction pipelines. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. Looking for a role where I can step up to more end-to-end ownership of ML systems, not just modeling.","Delhi, Delhi",India,4.2,AI Research Engineer,Razorpay,1001-5000,Fintech,AI Research Engineer | AI Research Engineer,Razorpay | PharmEasy,24 | 26,Fintech | HealthTech,2,"Contributed to ML feature engineering and model deployment for a fraud-detection product. My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and | Worked on customer-facing predictive modeling for an e-commerce platform — churn prediction, conversion likelihood, lifetime value estimation. Used scikit-learn and XGBoost; main models were gradient-",B.Sc | M.Sc,Computer Engineering | Computer Science,Massachusetts Institute of Technology | IIIT Bangalore,tier_1 | tier_1,"Milvus (advanced, 55 endorse, 27mo) | Pinecone (advanced, 6 endorse, 59mo) | Kubeflow (advanced, 6 endorse, 51mo) | LLMs (intermediate, 11 endorse, 11mo) | Content Writing (intermediate, 8 endorse, 26mo) | RAG (intermediate, 8 endorse, 20mo) | GANs (intermediate, 8 endorse, 32mo) | Image Classification (intermediate, 6 endorse, 18mo) | Diffusion Models (intermediate, 5 endorse, 28mo) | MLflow (intermediate, 3 endorse, 24mo) | CSS (intermediate, 1 endorse, 33mo) | ETL (beginner, 4 endorse, 9mo)",Image Classification | Milvus | GANs | Pinecone | MLflow | Diffusion Models | Kubeflow,7,12,,Milvus: 44.9 | Pinecone: 67.2,2,75.9,True,39.7,0.86,120,hybrid,False,28.2–40.7 LPA,0.98,0.48,1074,127,True,True,False,2026-04-08,2026-01-30,159,21,293,68.6
57,0.815076,81.5076,35.0000,23.1481,10.3350,9.2799,1.1500,Machine Learning Engineer | 4.9 yrs exp | 2 AI role(s) in career | assess=10.3 | resp_rate=0.79 | mult=1.150,CAND_0079284,Ishaan Dutta,Machine Learning Engineer | Applied ML | Building intelligent products,"Machine learning engineer with 4.9 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I led the team that migrated our keyword-search-based product to embedding-based retrieval. I've learned that most retrieval problems are actually evaluation problems in disguise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Hyderabad, Telangana",India,4.9,Machine Learning Engineer,Google,10001+,Internet,Machine Learning Engineer | Machine Learning Engineer,Google | Swiggy,36 | 22,Internet | Food Delivery,2,"Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item enga | Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo",M.S.,Computer Science,IIT Roorkee,tier_1,"Recommendation Systems (expert, 47 endorse, 48mo) | Elasticsearch (expert, 46 endorse, 95mo) | Machine Learning (expert, 43 endorse, 84mo) | NLP (expert, 40 endorse, 50mo) | LlamaIndex (expert, 39 endorse, 65mo) | Qdrant (expert, 11 endorse, 59mo) | Feature Engineering (advanced, 58 endorse, 22mo) | QLoRA (advanced, 49 endorse, 38mo) | ASR (advanced, 35 endorse, 36mo) | Fine-tuning LLMs (advanced, 34 endorse, 51mo) | scikit-learn (advanced, 10 endorse, 55mo) | Weights & Biases (intermediate, 10 endorse, 8mo) | Illustrator (intermediate, 9 endorse, 19mo) | Terraform (intermediate, 2 endorse, 10mo) | Project Management (beginner, 6 endorse, 16mo)",Recommendation Systems | scikit-learn | QLoRA | LlamaIndex | Qdrant | Feature Engineering | Weights & Biases | Fine-tuning LLMs | NLP | Machine Learning,10,15,,LlamaIndex: 66.0 | QLoRA: 64.1 | Recommendation Systems: 68.9 | scikit-learn: 84.2,4,85.5,False,-1,0.79,30,remote,False,33.2–64.7 LPA,0.94,0.34,198,107,True,True,True,2026-04-11,2026-01-28,57,17,295,59.2
58,0.813757,87.2707,35.0000,23.1481,11.3700,9.1525,1.0723,NLP Engineer | 7.9 yrs exp | 2 AI role(s) in career | assess=11.4 | resp_rate=0.63 | mult=1.072,CAND_0006557,Divya Goyal,"NLP Engineer | Search, Ranking & Retrieval","Machine learning engineer with 7.9 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I shipped our first RAG-based feature this year and now own the eval framework for it. I care a lot about evaluation rigor — too many teams ship models without offline benchmarks they trust. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Jaipur, Rajasthan",India,7.9,NLP Engineer,Paytm,10001+,Fintech,NLP Engineer | Recommendation Systems Engineer,Paytm | Apple,54 | 40,Consumer Electronics | Fintech,2,"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli | Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo",M.Tech | B.Sc,Machine Learning | Artificial Intelligence,Symbiosis International | RV College of Engineering,tier_3 | tier_2,"Qdrant (expert, 59 endorse, 74mo) | OpenSearch (expert, 54 endorse, 72mo) | FAISS (expert, 51 endorse, 85mo) | Vector Search (expert, 39 endorse, 91mo) | LlamaIndex (expert, 28 endorse, 66mo) | LangChain (expert, 22 endorse, 42mo) | Hugging Face Transformers (expert, 4 endorse, 84mo) | LoRA (expert, 4 endorse, 80mo) | OpenCV (advanced, 58 endorse, 40mo) | Kubeflow (advanced, 50 endorse, 45mo) | Data Science (advanced, 49 endorse, 38mo) | Weaviate (advanced, 45 endorse, 44mo) | Information Retrieval (advanced, 42 endorse, 30mo) | Pinecone (advanced, 41 endorse, 41mo) | Elasticsearch (advanced, 35 endorse, 40mo)",Kubeflow | Data Science | OpenSearch | LlamaIndex | OpenCV | Weaviate | FAISS | Pinecone | Hugging Face Transformers | Qdrant | LoRA | LangChain,12,18,,Data Science: 75.8 | Elasticsearch: 76.2 | Kubeflow: 64.5 | OpenSearch: 64.6,4,52.7,True,-1,0.63,120,hybrid,True,35.9–45.8 LPA,0.55,0.88,1131,43,True,True,True,2026-04-10,2025-12-17,191,53,482,36.7
59,0.813637,81.3637,35.0000,23.1481,9.5250,9.2260,1.1500,Applied ML Engineer | 4.7 yrs exp | 2 AI role(s) in career | assess=9.5 | resp_rate=0.87 | mult=1.150,CAND_0054123,Tanvi Banerjee,"Applied ML Engineer | Search, Ranking & Retrieval","Machine learning engineer with 4.7 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I've been the de-facto ML lead on a small team, shipping models across NLP and recsys. Along the way I've gotten comfortable with the operational side — A/B testing, drift monitoring, retraining schedules. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Gurgaon, Haryana",India,4.7,Applied ML Engineer,Meta,10001+,Internet,Applied ML Engineer | AI Engineer,Meta | CRED,45 | 10,Internet | Fintech,2,"Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) fo | Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n",M.Tech,Data Science,Stanford University,tier_1,"Weaviate (expert, 53 endorse, 39mo) | Fine-tuning LLMs (expert, 45 endorse, 66mo) | LangChain (expert, 42 endorse, 82mo) | LLMs (expert, 42 endorse, 64mo) | Qdrant (expert, 33 endorse, 75mo) | pgvector (expert, 21 endorse, 75mo) | Weights & Biases (advanced, 59 endorse, 49mo) | Vector Search (advanced, 58 endorse, 56mo) | Hugging Face Transformers (advanced, 56 endorse, 35mo) | Speech Recognition (advanced, 30 endorse, 26mo) | Semantic Search (advanced, 19 endorse, 44mo) | Python (advanced, 17 endorse, 19mo) | Tailwind (intermediate, 3 endorse, 15mo) | Reinforcement Learning (intermediate, 2 endorse, 19mo) | SEO (beginner, 1 endorse, 18mo)",LangChain | Weaviate | Qdrant | Hugging Face Transformers | Weights & Biases | Speech Recognition | Fine-tuning LLMs,7,15,"NLP Specialization (Coursera/DeepLearning.AI, 2024) | Google Cloud Professional ML Engineer (Google Cloud, 2022)",LangChain: 63.5 | Python: 92.0 | pgvector: 60.0,3,51.2,False,71.5,0.87,60,flexible,False,32.8–60.5 LPA,0.71,0.83,458,30,True,True,True,2026-05-08,2025-04-25,242,11,147,72.8
60,0.805902,81.1261,35.0000,23.1481,6.6600,7.0166,1.1424,AI Research Engineer | 6.2 yrs exp | 2 AI role(s) in career | assess=6.7 | resp_rate=0.59 | mult=1.142,CAND_0010541,Meera Krishnan,AI Research Engineer | Data Science & ML enthusiast,"Data scientist / ML engineer with 6.2 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've spent the last couple of years building NLP-based classification and information extraction pipelines. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I want to grow into senior AI engineering — get serious about LLMs and retrieval beyond the surface level.","Hyderabad, Telangana",India,6.2,AI Research Engineer,Wysa,51-200,HealthTech AI,AI Research Engineer | Junior ML Engineer,Wysa | Wysa,44 | 30,HealthTech AI,2,"Contributed to ML feature engineering and model deployment for a fraud-detection product. My main role was engineering: building the Flask-based prediction API, integrating with the feature store, and | Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. Used a combination of collaborative filtering (matrix factorization in implic",B.Tech | M.Sc,Computer Science | Computer Engineering,VJTI Mumbai | Manipal Institute of Technology,tier_2 | tier_2,"Pinecone (advanced, 60 endorse, 27mo) | Weaviate (advanced, 53 endorse, 29mo) | Data Science (advanced, 30 endorse, 25mo) | BM25 (advanced, 8 endorse, 25mo) | Computer Vision (advanced, 2 endorse, 24mo) | LoRA (intermediate, 15 endorse, 31mo) | Python (intermediate, 15 endorse, 32mo) | Java (intermediate, 15 endorse, 21mo) | GANs (intermediate, 14 endorse, 20mo) | TTS (intermediate, 13 endorse, 21mo) | YOLO (intermediate, 10 endorse, 10mo) | NLP (intermediate, 7 endorse, 35mo) | Feature Engineering (intermediate, 6 endorse, 21mo) | MLOps (intermediate, 4 endorse, 32mo) | Qdrant (intermediate, 4 endorse, 28mo)",Pinecone | GANs | Weaviate | Computer Vision | TTS | Data Science | LoRA | Feature Engineering | YOLO | Qdrant | NLP,11,16,"Google Cloud Professional ML Engineer (Google Cloud, 2022)",Computer Vision: 45.9 | Pinecone: 44.4 | Weaviate: 76.8,3,75.3,True,18.2,0.59,60,flexible,False,19.1–40.8 LPA,0.87,0.83,677,77,False,True,True,2026-03-08,2024-11-05,155,39,212,63.3
61,0.805661,81.6453,35.0000,21.8438,9.4500,7.8700,1.1348,AI Research Engineer | 5.1 yrs exp | 2 AI role(s) in career | assess=9.4 | resp_rate=0.56 | mult=1.135,CAND_0017590,Sunil Agarwal,AI Research Engineer | 5.1 yrs in analytics & ML,"Data scientist / ML engineer with 5.1 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. My current role is split between dashboarding/analytics and shipping production ML models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. Looking for a role where I can step up to more end-to-end ownership of ML systems, not just modeling.","Kolkata, West Bengal",India,5.1,AI Research Engineer,Genpact AI,10001+,AI Services,AI Research Engineer | Computer Vision Engineer,Genpact AI | Vedantu,52 | 8,EdTech | AI Services,2,"Worked on time-series forecasting models for supply-chain demand prediction at a logistics company. Built models in Prophet, LightGBM, and (for one project) a small LSTM — the LightGBM model ended up  | Built NLP pipelines for sentiment analysis and document classification — primarily for an internal feedback-analytics dashboard. Started with sklearn-based bag-of-words models, then moved to transform",M.S.,Data Science,VJTI Mumbai,tier_2,"NLP (advanced, 56 endorse, 54mo) | TTS (advanced, 48 endorse, 42mo) | Computer Vision (advanced, 22 endorse, 31mo) | TensorFlow (advanced, 20 endorse, 36mo) | Feature Engineering (advanced, 18 endorse, 23mo) | FAISS (advanced, 12 endorse, 39mo) | Sentence Transformers (advanced, 10 endorse, 44mo) | Semantic Search (intermediate, 15 endorse, 20mo) | Weaviate (intermediate, 11 endorse, 17mo) | BentoML (intermediate, 10 endorse, 10mo) | CNN (intermediate, 6 endorse, 34mo) | ASR (intermediate, 6 endorse, 14mo) | GANs (intermediate, 4 endorse, 35mo) | Qdrant (intermediate, 4 endorse, 20mo) | TypeScript (intermediate, 3 endorse, 29mo)",Weaviate | Computer Vision | Image Classification | FAISS | TTS | TensorFlow | GANs | BentoML | Sentence Transformers | Qdrant | Feature Engineering | NLP,12,19,,Computer Vision: 63.6 | FAISS: 63.0,2,86.1,True,18.7,0.56,45,onsite,True,17.5–54.3 LPA,0.97,-1,661,73,True,True,True,2026-04-02,2025-09-17,85,1,88,111.0
62,0.804635,80.4635,35.0000,23.1481,10.6200,8.9008,1.1500,Machine Learning Engineer | 4.7 yrs exp | 2 AI role(s) in career | assess=10.6 | resp_rate=0.84 | mult=1.150,CAND_0040887,Meera Kumar,"Machine Learning Engineer | Search, Ranking & Retrieval","Machine learning engineer with 4.7 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I've been the de-facto ML lead on a small team, shipping models across NLP and recsys. I've spent enough time debugging production ranking issues to know which signals matter and which are noise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.",Toronto,Canada,4.7,Machine Learning Engineer,Netflix,10001+,Media,Machine Learning Engineer | AI Engineer,Netflix | Unacademy,46 | 9,EdTech | Media,2,"Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-n | Implemented a RAG-based customer support chatbot integrated with our existing ticketing system. Built the document ingestion pipeline (chunking, embedding via OpenAI embeddings, storing in Pinecone) a",B.Sc,Artificial Intelligence,SRM University,tier_2,"PEFT (expert, 48 endorse, 74mo) | Recommendation Systems (expert, 47 endorse, 71mo) | LangChain (expert, 43 endorse, 39mo) | Python (expert, 40 endorse, 84mo) | LoRA (expert, 4 endorse, 85mo) | Milvus (expert, 1 endorse, 81mo) | Deep Learning (advanced, 21 endorse, 46mo) | FAISS (advanced, 17 endorse, 52mo) | Computer Vision (advanced, 6 endorse, 53mo) | Reinforcement Learning (advanced, 2 endorse, 52mo) | MLflow (intermediate, 15 endorse, 34mo) | SEO (beginner, 1 endorse, 3mo)",Computer Vision | FAISS | MLflow | LoRA | LangChain | PEFT | Milvus | Deep Learning | Recommendation Systems,9,12,"LangChain for LLM Application Development (DeepLearning.AI, 2019) | Google Cloud Professional ML Engineer (Google Cloud, 2022)",Computer Vision: 55.4 | FAISS: 70.8 | Reinforcement Learning: 85.8,3,93.1,True,34.2,0.84,15,remote,False,23.8–52.6 LPA,0.8,0.88,1053,162,True,True,True,2026-05-24,2024-11-20,114,50,846,60.7
63,0.804204,80.4204,35.0000,23.1481,10.2600,7.1090,1.1500,ML Engineer | 4.4 yrs exp | 2 AI role(s) in career | assess=10.3 | resp_rate=0.89 | mult=1.150,CAND_0016659,Priya Dalal,ML Engineer | Data Science & ML enthusiast,"Data scientist / ML engineer with 4.4 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've spent the last couple of years building NLP-based classification and information extraction pipelines. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I want to grow into senior AI engineering — get serious about LLMs and retrieval beyond the surface level.","Coimbatore, Tamil Nadu",India,4.4,ML Engineer,Glance,501-1000,AI/ML,ML Engineer | ML Engineer,Glance | Flipkart,38 | 14,E-commerce | AI/ML,2,"Built NLP pipelines for sentiment analysis and document classification — primarily for an internal feedback-analytics dashboard. Started with sklearn-based bag-of-words models, then moved to transform | Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. Used a combination of collaborative filtering (matrix factorization in implic",B.Tech,Artificial Intelligence,IIT Hyderabad,tier_1,"scikit-learn (advanced, 59 endorse, 40mo) | Weaviate (advanced, 51 endorse, 43mo) | Information Retrieval (advanced, 43 endorse, 22mo) | Pinecone (advanced, 17 endorse, 31mo) | CNN (advanced, 16 endorse, 33mo) | OpenCV (advanced, 2 endorse, 57mo) | TTS (advanced, 0 endorse, 38mo) | Apache Beam (intermediate, 14 endorse, 20mo) | Airflow (intermediate, 13 endorse, 16mo) | PEFT (intermediate, 12 endorse, 27mo) | PowerPoint (intermediate, 9 endorse, 17mo) | FAISS (intermediate, 9 endorse, 32mo) | GraphQL (intermediate, 7 endorse, 14mo) | Sentence Transformers (intermediate, 6 endorse, 22mo) | Feature Engineering (intermediate, 1 endorse, 10mo)",TTS | Sentence Transformers | Pinecone | PEFT | FAISS | Weaviate | Airflow | scikit-learn | OpenCV | Feature Engineering,10,15,"Google Cloud Professional ML Engineer (Google Cloud, 2023)",Information Retrieval: 77.5 | Pinecone: 68.4 | TTS: 50.6 | Weaviate: 69.6,4,98.3,True,13.4,0.89,45,flexible,False,31.8–54.5 LPA,0.9,0.63,111,66,False,False,True,2026-05-22,2024-06-21,203,37,46,10.2
64,0.801898,80.1898,35.0000,24.0741,0.0000,9.2157,1.1500,Recommendation Systems Engineer | 5.8 yrs exp | 3 AI role(s) in career | assess=0.0 | resp_rate=0.75 | mult=1.150,CAND_0011162,Nisha Sharma,"Recommendation Systems Engineer | ML, NLP, Recommendation Systems","Machine learning engineer with 5.8 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I led the team that migrated our keyword-search-based product to embedding-based retrieval. I've spent enough time debugging production ranking issues to know which signals matter and which are noise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack.","Coimbatore, Tamil Nadu",India,5.8,Recommendation Systems Engineer,upGrad,1001-5000,EdTech,Recommendation Systems Engineer | Recommendation Systems Engineer | Machine Learning Engineer,upGrad | Meesho | Google,25 | 28 | 15,Internet | E-commerce | EdTech,3,"Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item enga | Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. My main project was a churn prediction model that's now use | Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of cli",M.S. | M.S.,Artificial Intelligence | Data Science,PES University | IIT Kharagpur,tier_2 | tier_1,"OpenSearch (expert, 45 endorse, 89mo) | LoRA (expert, 35 endorse, 76mo) | FAISS (expert, 34 endorse, 94mo) | LangChain (expert, 31 endorse, 83mo) | Vector Search (expert, 30 endorse, 46mo) | Pinecone (expert, 28 endorse, 78mo) | Embeddings (expert, 1 endorse, 69mo) | Python (advanced, 44 endorse, 37mo) | Sentence Transformers (advanced, 40 endorse, 56mo) | Weaviate (advanced, 33 endorse, 50mo) | Kubeflow (advanced, 19 endorse, 52mo) | CNN (advanced, 18 endorse, 36mo) | Milvus (advanced, 0 endorse, 59mo) | PEFT (advanced, 0 endorse, 26mo) | Weights & Biases (intermediate, 13 endorse, 10mo)",Weights & Biases | FAISS | LangChain | LoRA | Milvus | OpenSearch | Kubeflow | Sentence Transformers | Pinecone | PEFT | Weaviate,11,17,"Google Cloud Professional ML Engineer (Google Cloud, 2020)",,0,85.6,True,34.3,0.75,90,hybrid,True,35.1–58.5 LPA,0.66,0.58,407,177,True,True,True,2026-05-10,2024-12-20,63,63,216,45.3
65,0.801248,83.6589,35.0000,21.8935,11.8800,7.8970,1.1014,ML Engineer | 5.3 yrs exp | 4 AI role(s) in career | assess=11.9 | resp_rate=0.33 | mult=1.101,CAND_0013393,Sneha Bansal,ML Engineer | 5.3 yrs in analytics & ML,"Data scientist / ML engineer with 5.3 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've been working on recommendation-style features but lighter on the deep-learning side — mostly classical methods like collaborative filtering and gradient-boosted models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I'm looking to grow into a deeper AI/ML system-building role — closer to retrieval, LLMs, and modern ranking systems.","Bangalore, Karnataka",India,5.3,ML Engineer,Freshworks,5001-10000,SaaS,ML Engineer | ML Engineer | Senior Software Engineer (ML) | AI Research Engineer,Freshworks | Tech Mahindra | PharmEasy | Genpact AI,19 | 15 | 19 | 9,SaaS | AI Services | HealthTech | IT Services,4,"Built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production. Used a combination of collaborative filtering (matrix factorization in implic | Worked on customer-facing predictive modeling for an e-commerce platform — churn prediction, conversion likelihood, lifetime value estimation. Used scikit-learn and XGBoost; main models were gradient- | Built computer vision models for our product's image moderation feature using PyTorch — fine-tuned ResNet variants on a labeled dataset of ~200K images. Set up the training pipeline (data loading, aug | Built computer vision models for our product's image moderation feature using PyTorch — fine-tuned ResNet variants on a labeled dataset of ~200K images. Set up the training pipeline (data loading, aug",M.Sc,Information Technology,VIT Vellore,tier_2,"Pinecone (advanced, 58 endorse, 37mo) | Sentence Transformers (advanced, 51 endorse, 31mo) | Image Classification (advanced, 38 endorse, 60mo) | Computer Vision (advanced, 21 endorse, 29mo) | OpenSearch (advanced, 19 endorse, 31mo) | BentoML (advanced, 13 endorse, 40mo) | Embeddings (advanced, 3 endorse, 30mo) | Forecasting (advanced, 1 endorse, 41mo) | Data Science (advanced, 0 endorse, 31mo) | MLflow (intermediate, 14 endorse, 22mo) | Terraform (intermediate, 14 endorse, 36mo) | TensorFlow (intermediate, 13 endorse, 34mo) | Statistical Modeling (intermediate, 12 endorse, 26mo) | Qdrant (intermediate, 10 endorse, 24mo) | Reinforcement Learning (intermediate, 8 endorse, 27mo)",MLflow | Pinecone | Qdrant | Data Science | BentoML | PyTorch | OpenSearch | Statistical Modeling | Milvus | Sentence Transformers | Computer Vision | TensorFlow | Image Classification,13,19,,Embeddings: 41.2 | Pinecone: 79.2,2,74.2,True,-1,0.33,60,onsite,False,19.1–42.6 LPA,0.99,0.75,1012,63,False,True,True,2026-03-20,2025-08-08,62,35,132,111.5
66,0.800042,82.6802,35.0000,23.1481,10.4400,7.2210,1.1128,AI Research Engineer | 3.2 yrs exp | 2 AI role(s) in career | assess=10.4 | resp_rate=0.50 | mult=1.113,CAND_0050146,Aarohi Dalal,AI Research Engineer | Data Science & ML enthusiast,"Data scientist / ML engineer with 3.2 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've spent the last couple of years building NLP-based classification and information extraction pipelines. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. Looking for a role where I can step up to more end-to-end ownership of ML systems, not just modeling.","Noida, Uttar Pradesh",India,3.2,AI Research Engineer,HCL,10001+,IT Services,AI Research Engineer | Junior ML Engineer,HCL | Niramai,27 | 10,HealthTech AI | IT Services,2,"Worked on time-series forecasting models for supply-chain demand prediction at a logistics company. Built models in Prophet, LightGBM, and (for one project) a small LSTM — the LightGBM model ended up  | Worked on customer-facing predictive modeling for an e-commerce platform — churn prediction, conversion likelihood, lifetime value estimation. Used scikit-learn and XGBoost; main models were gradient-",B.E.,Data Science,SRM University,tier_2,"BentoML (advanced, 42 endorse, 54mo) | FAISS (advanced, 28 endorse, 54mo) | QLoRA (advanced, 14 endorse, 18mo) | Qdrant (advanced, 1 endorse, 52mo) | Diffusion Models (advanced, 1 endorse, 24mo) | OpenCV (intermediate, 14 endorse, 9mo) | Semantic Search (intermediate, 8 endorse, 15mo) | Milvus (intermediate, 6 endorse, 16mo) | Data Science (intermediate, 5 endorse, 31mo) | CNN (intermediate, 3 endorse, 29mo) | Vector Search (intermediate, 3 endorse, 12mo) | TTS (intermediate, 3 endorse, 29mo) | Six Sigma (beginner, 10 endorse, 7mo)",Qdrant | QLoRA | Diffusion Models | OpenCV | Data Science | FAISS | Milvus | TTS | BentoML,9,13,"Google Cloud Professional ML Engineer (Google Cloud, 2024) | NLP Specialization (Coursera/DeepLearning.AI, 2020)",Diffusion Models: 65.0 | FAISS: 69.6 | QLoRA: 82.2 | Qdrant: 63.9,4,70.3,False,79.3,0.5,60,remote,True,28.3–42.0 LPA,0.57,0.41,748,126,True,True,True,2026-04-24,2025-03-06,36,14,730,101.2
